rank;name;gameId;elo;country;countryCode;
495;Marc Alexandre;69434669;1588;France;fr;
496;Mark Siew;29511243;1588;Malaysia;my;
497;Brian Basoco;31661733;1588;United States of America;us;
498;Joseph Scalco;73113941;1588;United States of America;us;
499;Adrian Fjell;46924263;1588;Norway;no;
500;Nick Kinnamon;76495242;1588;United States of America;us;
501;Hristiyan Samodov;93252453;1588;Bulgaria;bg;
502;Samuel Blitch;48128788;1588;United States of America;us;
503;Ryan McClain;76182514;1588;United States of America;us;
504;Tyler Kennedy;78349695;1588;United States of America;us;
505;Darvydas Čepukaitis;85277458;1587;Lithuania;lt;
506;Tom Philippi;15954149;1587;United States of America;us;
507;Patrick Yoder;59587656;1587;United States of America;us;
508;João Gomes;99744297;1587;Portugal;pt;
509;Jin Han Toh;78561671;1587;Singapore;sg;
510;Alex Sneed;62413994;1587;United States of America;us;
511;Patrick McGregor;93788556;1587;United States of America;us;
512;Tye Soens;89993634;1586;Australia;au;
513;Jordan Kassiotis;87934287;1586;Australia;au;
514;Hanno Guellicher;82538441;1586;Germany;de;
515;Alexander Benton;17299985;1586;United States of America;us;
516;Jamie Faulkner;56872833;1586;United Kingdom;gb;
517;Ryan Porter;32583671;1586;Ireland;ie;
518;Calum Gittins;91259575;1586;New Zealand;nz;
519;Dawid Dominiak;92964195;1586;Poland;pl;
